zip,city,metro,median_home_value,fips
34609,Spring Hill,"Tampa-St. Petersburg-Clearwater, FL",321087.3494904343,12053
33029,Pembroke Pines,"Miami-Fort Lauderdale-Pompano Beach, FL",697645.2544135439,12011
48219,Detroit,"Detroit-Warren-Dearborn, MI",86797.42068232135,26163
33169,Miami Gardens,"Miami-Fort Lauderdale-Pompano Beach, FL",457177.6049222639,12086
23608,Newport News,"Virginia Beach-Norfolk-Newport News, VA-NC",297010.544388136,51700
63116,Saint Louis,"St. Louis, MO-IL",174755.59232261582,
95380,Turlock,"Modesto, CA",437814.156062202,06099
92101,San Diego,"San Diego-Chula Vista-Carlsbad, CA",729310.6889082128,06073
40216,Louisville,"Louisville/Jefferson County, KY-IN",199813.8154161139,21111
10034,New York,"New York-Newark-Jersey City, NY-NJ-PA",470642.0685573442,36061
95407,Santa Rosa,"Santa Rosa-Petaluma, CA",619621.2749408457,06097
60062,Northbrook,"Chicago-Naperville-Elgin, IL-IN-WI",659979.5682881069,17031
53590,Sun Prairie,"Madison, WI",436050.96613992145,55025
95337,Manteca,"Stockton, CA",637686.5686806324,06077
11756,Levittown,"New York-Newark-Jersey City, NY-NJ-PA",705188.567580902,36059
14120,North Tonawanda,"Buffalo-Cheektowaga, NY",265236.541636881,36063
53081,Sheboygan,"Sheboygan, WI",232961.24267859253,55117
18042,Easton,"Allentown-Bethlehem-Easton, PA-NJ",260025.01583948696,42095
17701,Williamsport,"Williamsport, PA",189803.7225965263,42081
91733,South El Monte,"Los Angeles-Long Beach-Anaheim, CA",745932.3054498128,06037
1453,Leominster,"Worcester, MA-CT",452176.452681738,25027
78573,Alton,"McAllen-Edinburg-Mission, TX",211155.4063959101,48215
30134,Douglasville,"Atlanta-Sandy Springs-Alpharetta, GA",282275.140105965,13097
43551,Perrysburg,"Toledo, OH",323993.07655227085,39173
43235,Columbus,"Columbus, OH",334477.02051591495,39049
46123,Avon,"Indianapolis-Carmel-Anderson, IN",342905.7604052148,18063
94025,Menlo Park,"San Francisco-Oakland-Berkeley, CA",2722817.1749959323,06081
8844,Hillsborough Township,"New York-Newark-Jersey City, NY-NJ-PA",658833.3605697296,34035
49442,Muskegon,"Muskegon, MI",169799.95814566786,26121
96003,Redding,"Redding, CA",393597.04388316,06089
60660,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",276720.7456321475,17031
