zip,price_to_income_ratio,annual_rent_to_income_ratio,rent_to_home_value_ratio,affordability_index,affordability_tier
7109,6.853956665924595,0.35860947347021754,0.05232152622923555,23.49724658320963,2
7110,8.682763175520849,0.35860947347021754,0.04130130768523532,18.680758502868883,1
71101,0.9177949752063979,0.2802488858992685,0.305350207257612,150.88041601159085,5
71103,0.5607566336065346,0.2802488858992685,0.4997691852467863,222.93882960080066,5
71104,2.491227525450074,0.2802488858992685,0.11249429569811682,62.23410209047776,4
71105,4.08626865672315,0.2802488858992685,0.06858307895105578,39.00367836383299,3
71106,4.48463176232092,0.2802488858992685,0.062490947027996784,35.67760643672099,3
71107,2.847617336130117,0.2802488858992685,0.09841521975003982,54.9248366890309,4
71108,0.8531578381485364,0.2802488858992685,0.32848421870851596,160.25788513006,5
71109,0.7151101925222612,0.2802488858992685,0.39189608654689173,184.78629663159532,5
7111,5.651969786401299,0.35860947347021754,0.06344858288751576,28.29153907212723,2
71111,4.195346537815513,0.20638409857890336,0.04919357595817725,38.46506597259659,3
71112,2.725278584670459,0.20638409857890336,0.07572954183099023,58.216679083442195,4
71115,5.117020530606609,0.2802488858992685,0.054767981528119,31.42369572797783,2
71118,3.4979798937962427,0.2802488858992685,0.08011735184535997,45.23070505553747,4
71119,3.9185071539581577,0.2802488858992685,0.07151929928625594,40.597533221851336,3
7112,6.559817041593849,0.35860947347021754,0.054667602952396616,24.513805353610238,2
71129,3.917658123661342,0.2802488858992685,0.07153479886533722,40.60593098373725,3
7114,6.336743572287363,0.35860947347021754,0.056592075942370965,25.34539479360271,2
71201,4.245212323455798,0.2499340248878423,0.05887432850104999,37.77717580394941,3
71202,1.1141548852807128,0.2499340248878423,0.2243261041976862,130.12928299232306,5
71203,3.63371698763309,0.2499340248878423,0.06878191827774757,43.85572898739407,4
71220,2.0896795046758796,0.26423762376237625,0.12644887561519194,73.55630566400087,5
71222,2.1020690283566412,0.2615789920965412,0.12443882126032692,73.2132482198609,5
71223,1.6734838825592244,0.26423762376237625,0.1578967246211437,90.10751257730527,5
71225,4.826782780198246,0.2499340248878423,0.05178066556323817,33.37735497074728,2
71227,6.912001992239321,0.28572200751331045,0.04133708407985332,23.465970831503594,2
71229,3.8640873918125056,0.26423762376237625,0.06838293158748457,41.25161552074953,3
71232,2.7751203949119994,0.23538701298701298,0.08482046884112833,56.84314622531138,4
71234,3.9503358583645647,0.2615789920965412,0.06621689939164682,40.40676501412666,3
71235,5.290173592283879,0.28572200751331045,0.05400994930110758,30.40999091829841,2
71237,2.2089134753847657,0.22222715665593426,0.10060473582706767,70.70940886543129,5
71238,3.653229936997106,0.2499340248878423,0.06841453431570307,43.63170081036044,3
71241,3.5818693901723733,0.2615789920965412,0.07302862377233497,44.37043001296164,4
71245,3.6274914409064625,0.28572200751331045,0.0787657289253072,43.65318358803612,3
71251,2.3028345164863917,0.24768598722961938,0.10755700657445962,67.53219964121992,4
71254,1.6870833122794788,0.3243453461239305,0.1922521216131857,87.56658474748622,5
71256,1.905387659493531,0.2615789920965412,0.13728387018422863,80.13692563521205,5
71260,2.387993834576876,0.2615789920965412,0.10953922422621742,65.04370068807606,4
71261,2.117374609283967,0.26423762376237625,0.12479493359549329,72.66809103720803,5
71263,2.6762599969042187,0.22222715665593426,0.08303646017688752,59.00934425506391,4
71264,4.497915253820207,0.26423762376237625,0.05874668793235971,35.65768929755153,3
71266,2.852853751862371,0.22222715665593426,0.07789644194374219,55.536947167708526,4
71268,3.5486316362342194,0.24768598722961938,0.06979760443449741,44.878199691604536,4
71269,3.417773688994258,0.23538701298701298,0.0688714451003571,46.62398045392026,4
71270,5.912488480826764,0.28572200751331045,0.048325169417219226,27.30910877900447,2
71275,4.135406429425603,0.28572200751331045,0.06909163884842064,38.52773710601093,3
71277,2.3533068989842643,0.2615789920965412,0.11115379477680708,65.93628010786317,4
71280,4.567931305679301,0.2499340248878423,0.0547149263337432,35.202189489459435,2
71282,2.281720334654858,0.2900197055755187,0.1271057198249444,67.33824975042306,4
71286,2.6252976517390634,0.3243453461239305,0.1235461228211879,58.65389099075644,4
71291,4.241668604992719,0.2499340248878423,0.058923515286803355,37.80754395946042,3
71292,2.9206986726757,0.2499340248878423,0.08557336887439801,53.9842301632482,4
71295,2.8734427036839407,0.24333195555447495,0.0846830720663083,54.90287010061171,4
71301,1.7633971824534906,0.2152796578049705,0.1220823419403691,87.40111429015852,5
71302,1.4949453197945899,0.2152796578049705,0.14400503814718157,101.72121915477892,5
71303,3.973468289217268,0.2152796578049705,0.05417928170942528,40.48266941601282,3
71322,2.5740226441198875,0.2657639032458135,0.10324847135782825,60.57965713615003,4
71325,1.887609029217969,0.2152796578049705,0.11404885994540948,82.05617811011972,5
71326,2.3305846963658468,0.2570834082560559,0.1103085456009962,66.61407791098867,4
71327,3.2253382771193375,0.2657639032458135,0.08239876887678789,48.98338588819571,4
71328,3.36350167186125,0.2152796578049705,0.06400462339768717,47.52370903365357,4
71334,2.3297080984074463,0.2570834082560559,0.11035005133552751,66.63742517174182,4
71341,3.6602730831130774,0.2657639032458135,0.07260767085164592,43.4316301945359,3
71343,2.4414789823808034,0.20738100665160902,0.08494072983965721,64.60616952160765,4
71346,2.554505785304913,0.2152796578049705,0.08427448434189948,61.77356853549735,4
71350,3.512346399826336,0.2657639032458135,0.07566563003550958,45.17296590699489,4
71351,3.1223672191398637,0.2657639032458135,0.08511615854045029,50.51204329073213,4
71360,3.3387874067569796,0.2152796578049705,0.06447839636908037,47.86098931467089,4
71362,3.8857048530331904,0.2657639032458135,0.06839528819034148,41.021795947636534,3
71366,5.00619382593093,0.28070569096569714,0.0560716785498209,32.09244089530677,2
71373,3.421962323167247,0.2570834082560559,0.07512748066089418,46.38195781997906,4
71403,2.9282579414835457,0.220913576317046,0.07544197974756431,54.19113726081843,4
71404,2.5115745558124054,0.2227861626819821,0.08870378232109406,62.654317640728756,4
71405,2.877072131517171,0.2152796578049705,0.07482595081529872,55.176823615190926,4
71409,3.062603740478869,0.2152796578049705,0.07029301733018498,51.9838571485864,4
71411,2.473187943919189,0.26870007262164125,0.1086452298468834,62.83803740286139,4
71417,2.100935597005056,0.2079425403577281,0.09897616121796222,74.41924850040908,5
71418,2.7559937030073884,0.2189598967335419,0.07944862010918569,57.43231006190717,4
71419,3.634189918206328,0.26014665129852615,0.07158311952692961,43.77186327942019,4
71423,3.333602232583135,0.2079425403577281,0.06237773010986917,47.99988428511288,4
71424,3.1169438380172014,0.2152796578049705,0.06906754468245971,51.11747487727172,4
71429,4.265569894338501,0.26014665129852615,0.060987548614267716,37.54598542481298,3
71430,2.968484300776199,0.2152796578049705,0.07252174375612469,53.556056732582526,4
71433,2.4005435165265934,0.2152796578049705,0.08967954812019571,65.5119970587329,4
71435,2.9423451308710957,0.2189598967335419,0.07441679578517621,53.96680177700134,4
71438,2.6846191888613964,0.2152796578049705,0.08019001678084374,58.931569127552876,4
71439,2.7714344315211132,0.220913576317046,0.07971091569205795,57.102849599509405,4
71441,3.11033997237094,0.2189598967335419,0.07039741593477122,51.182627266958434,4
71446,2.8148324171182453,0.220913576317046,0.07848196396118379,56.266233064321135,4
71449,5.1031739018786455,0.26014665129852615,0.05097742234548535,31.585966086145234,2
71454,1.8835122779934048,0.2079425403577281,0.11040147855009429,82.4209075845466,5
71457,4.312911397793931,0.26870007262164125,0.06230131988314953,37.10262805609679,3
71461,2.2045026200677773,0.220913576317046,0.100210167275852,70.86835693701757,5
71463,1.6300880363500048,0.18970713676428774,0.11637846087691595,94.88245082526973,5
71467,3.1350013367009373,0.2079425403577281,0.06632933068429014,50.91188744484034,4
71483,2.2892546334644814,0.2227861626819821,0.09731820978989347,68.36825007976675,5
71485,5.479951254797376,0.2152796578049705,0.0392849585325245,29.637685670701945,2
71486,4.240443226563644,0.26014665129852615,0.06134892920364433,37.75972180062828,3
71601,0.8488279932263824,0.23997438907267102,0.28271262374433714,165.21100583097652,5
71602,2.781593612508977,0.23997438907267102,0.08627226780845815,56.65895973878059,4
71603,2.00524429599656,0.23997438907267102,0.11967339318794037,76.97421544019468,5
71635,1.717810409199139,0.23569324167485045,0.13720561967297257,88.89176959937588,5
71638,1.1552726115923988,0.2473759117594734,0.21412773857634923,126.24446560424909,5
71639,2.5373624590271713,0.27740562692095516,0.10932834051123817,61.22275083797207,4
71640,1.5286749698215691,0.2885797830186101,0.18877772496811004,96.83946068020234,5
71646,2.1357205257730945,0.23569324167485045,0.11035771714069822,72.68975888370426,5
71652,2.3961664510149867,0.2158935252386891,0.09009955261966016,65.61433173546916,4
71653,4.601692575203533,0.2885797830186101,0.06271166061236637,34.76510572457072,2
71654,2.0620472623797865,0.27740562692095516,0.13452922829751454,74.17348807509505,5
71655,3.5131641998148964,0.2473759117594734,0.0704139908326822,45.313478733481546,4
71660,2.6197004344740353,0.2158935252386891,0.08241153163836257,60.30716838260561,4
71665,3.3681163318573213,0.2158935252386891,0.06409918897297598,47.455727395194494,4
71667,2.595735886761965,0.20900130625816413,0.08051716945628144,60.93689050935696,4
71670,3.296922156998302,0.27740562692095516,0.08414078759248608,47.867146573533454,4
71671,2.212468773971822,0.24171397180003662,0.10925079469759562,70.21649168572534,5
71675,2.9408205187709258,0.2473759117594734,0.08411799026173167,53.66411389507432,4
71701,2.1718520398169696,0.22302948382191434,0.10269091988453775,71.82241387158666,5
71720,2.2208621857730315,0.22302948382191434,0.10042472930137394,70.33688742028079,5
71725,1.6437481232730997,0.26344018959710613,0.16026797893617245,91.60655408075253,5
71730,2.5944204824395167,0.22265554327068046,0.08582091637717836,60.76388072688676,4
71742,2.517669856158387,0.26344018959710613,0.10463651099953158,61.8820309729867,4
71743,2.000106032453153,0.21967506396788083,0.10983170912116436,77.6437515889381,5
71744,2.1865953957648765,0.20140445241296878,0.09210869683667151,71.81230466293239,5
71753,2.8657049904546072,0.22841002508378827,0.07970465412336598,55.224606628050346,4
71762,2.123230885228599,0.22265554327068046,0.10486638302961016,73.36753124607955,5
71763,2.5132629386075425,0.26344018959710613,0.10481998741566752,61.98345164679289,4
71764,1.3521274596755026,0.22302948382191434,0.1649470855916492,111.05086363196313,5
71770,1.8780544996889552,0.22841002508378827,0.12162055207749174,82.08854874724518,5
71801,2.4449492234365433,0.24186996381717685,0.09892637503416618,63.950169226406395,4
71822,2.500802631641644,0.1801217868899995,0.07202559074874258,63.59177969290756,4
71826,2.17369666784377,0.26228205255575976,0.12066175397689423,70.96573182419718,5
71827,2.328230109983407,0.26228205255575976,0.11265297679602171,66.58450640125221,4
71832,3.0545926902459932,0.19713629660051898,0.06453767051496583,52.3119219158797,4
71833,2.918254105858344,0.23639121898982687,0.08100433012850924,54.18559467826108,4
71837,3.9723289899991947,0.2774872408795917,0.06985505016784825,40.089925063837605,3
71845,2.2657988695323654,0.26228205255575976,0.11575698800215738,68.2877195808863,5
71851,2.703139255459915,0.23639121898982687,0.0874506256058965,58.260118395515974,4
71852,3.89251534659986,0.23639121898982687,0.060729681951367596,41.15115084455619,3
71854,3.346522965081697,0.2774872408795917,0.08291807460308809,47.194105702116694,4
71857,1.9649309648447848,0.2517675779000944,0.12813049537339966,78.1454148750402,5
71859,2.3950392939886354,0.24186996381717685,0.10098788960341983,65.19875741783542,4
71860,1.9719214195229837,0.26228205255575976,0.13300836937975294,77.63579304740043,5
71861,3.0377572293395008,0.26228205255575976,0.08634068911846117,51.8788668672283,4
71901,3.707056459559461,0.2411993582769367,0.06506492709463625,43.09019397278696,3
71909,4.066568415817202,0.18794035720137636,0.04621595851439981,39.75957871996221,3
